FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY,Quarter
106150788,ADVENTIST HEALTH BAKERSFIELD,20192,43469,06/30/2019,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,172,884,802,267,875,0,0,266,1028,4,22,4148,0,3929,3297,957,2782,0,0,1080,3194,12,68,15319,0,11473,3611,1845,12300,0,0,2904,17527,28,2030,51718,76448825,70244967,15465370,50836223,0,0,18588386,65240649,245264,1381663,298451347,46819709,34552352,6287085,49122950,0,0,19669974,67878862,73383,5368061,229772376,3243878,103972893,82657932,20249728,86276493,0,0,0,27460251,94434295,0,633857,0,0,0,7790400,426719727,0,0,0,0,0,18404096,21770085,872488,13448125,0,0,10376488,34842703,318647,1471364,101503996,1271642,100973663,0,522932,0,0,0,0,4713096,133266217,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106171049,ADVENTIST HEALTH CLEARLAKE,20192,43469,06/30/2019,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE ,CLEARLAKE,95422,DAVID SANTOS,25,25,19,170,7,21,119,0,0,12,13,0,2,344,0,803,17,68,383,0,0,31,52,0,3,1357,0,22039,317,7026,22275,0,0,5894,3473,0,807,61831,9439214,123002,1166281,5439897,0,0,68034,581958,0,134651,16953037,22614239,615094,4408581,21733292,0,0,1790182,7491632,0,1028545,59681565,1313229,17885211,582458,1347520,21915972,-205998,0,0,270060,3882593,0,1011509,0,0,0,831733,48834287,0,2363051,0,0,2363051,13150626,152100,3959056,7265830,0,0,1725362,3774024,0,136368,30163366,1286756,27695263,0,12988,0,0,0,0,2114364,40158581,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106040875,ADVENTIST HEALTH FEATHER RIVER,20192,43469,06/30/2019,Open,Butte,01 - Northern California,220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,ED GONZALEZ,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15682,0,4189,9851,0,0,4601,2814,0,693,37830,0,0,0,0,0,0,0,0,0,0,0,8165030,0,769307,4706742,0,0,185830,3690479,0,147910,17665298,128780,5831319,0,156140,2512108,0,0,0,102587,2900913,0,0,0,0,0,46142,11677989,0,0,0,0,0,1851106,0,619636,2396212,0,0,36507,1002686,0,81162,5987309,3362588,12587366,0,-39592,0,0,0,0,0,49496614,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106190323,ADVENTIST HEALTH GLENDALE,20192,43469,06/30/2019,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,259,2132,443,439,962,0,0,83,889,32,17,4997,0,11073,1875,2767,3529,0,0,443,3342,129,72,23230,0,16030,2659,1526,9999,0,0,2380,17296,46,1025,50961,215881901,46697828,30487192,81442292,0,0,2344085,69142586,2201311,1219218,449416413,72527021,21769542,7687438,65937323,0,0,2948860,68601501,548505,12285064,252305254,2270298,245167805,58992895,30003867,119890227,0,0,0,3745579,98228933,0,9989183,0,0,0,13569629,581858416,0,0,0,0,0,37507450,8655557,4481283,27345447,0,0,1410423,37380071,0,3083020,119863251,4514664,126079916,0,1852864,0,0,0,0,2373244,194658247,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106164029,ADVENTIST HEALTH HANFORD,20192,43469,06/30/2019,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,126,785,236,262,943,0,0,159,385,0,26,2796,0,3951,1314,930,3034,0,0,443,1194,0,124,10990,0,14279,2232,4066,27926,0,0,5518,16091,3,1767,71882,40436026,13337231,6801966,31499509,0,0,4579499,13308499,0,1119280,111082010,33544945,8260264,8645602,74854912,0,0,11031945,38713875,13021,7645191,182709755,3628355,59460396,17736790,7675399,83751234,-1094663,0,0,6548850,29350925,0,778700,0,0,0,8335947,216171933,0,4298721,0,0,4298721,14247773,3546717,12690939,22435105,0,0,8271240,20090745,590,635444,81918553,1815329,77556436,0,-2052606,0,0,0,0,5373659,205201867,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20192,43469,06/30/2019,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,23,229,29,27,89,0,0,11,46,0,1,432,0,938,131,110,385,0,0,53,136,0,2,1755,0,6140,557,359,4247,0,0,1759,2701,0,338,16101,16163022,2538884,1523671,4848169,0,0,249488,3125767,0,363468,28812469,8373357,875467,842256,7542708,0,0,735365,5529449,0,837950,24736552,697630,15885644,1728364,1655326,11007765,0,0,0,131952,3949472,0,1186926,0,0,0,512989,36756068,0,1387587,0,0,1387587,8179312,1619377,552063,2121059,0,0,1228420,4433803,0,46506,18180540,885659,18740732,0,670651,0,0,0,0,6120214,65321275,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106390923,ADVENTIST HEALTH LODI MEMORIAL,20192,43469,06/30/2019,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,91,833,219,167,508,0,0,29,375,0,25,2156,0,3421,850,667,1704,0,0,99,1086,0,76,7903,0,17560,3581,3394,23473,0,0,5708,11321,70,1195,66302,92652068,23919800,16065274,40383466,0,0,2686270,28876219,0,2763000,207346097,54680631,15222200,8987316,56530434,0,0,5025105,42435052,23055,7637874,190541667,2181952,130374871,35453417,23428986,86779964,0,0,0,3519257,46116297,0,851058,0,0,0,8724633,337430435,0,803903,0,0,803903,17106775,3608366,2274208,9460355,0,0,4188906,21594189,0,3028433,61261232,765058,62839758,0,-280081,0,0,0,0,1358419,124170408,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106100797,ADVENTIST HEALTH REEDLEY,20192,43469,06/30/2019,Open,Fresno,09 - Central,607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,15,47,17,81,207,0,0,2,45,0,10,409,0,196,64,177,475,0,0,5,107,0,24,1048,0,19334,4263,12554,82675,0,0,1518,18232,3163,3079,144818,1342043,560556,1691497,4261422,0,0,60168,919336,0,137873,8972895,8988113,2135411,5777834,37787460,0,0,1234818,8928046,534271,2739776,68125729,1194811,3624122,2308556,2474695,16185410,-1230261,0,0,276648,4268543,0,975332,0,0,0,2885750,32963606,0,432669,0,0,432669,6441759,439365,6368569,25248199,0,0,833970,4737878,98510,399437,44567687,3415940,40311138,0,449125,0,0,0,0,428482,32398086,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106580996,ADVENTIST HEALTH RIDEOUT,20192,43469,06/30/2019,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,155,1295,38,241,775,0,0,510,0,0,29,2888,0,7281,189,995,3471,0,0,1897,0,0,227,14060,0,24746,574,2687,13846,22,0,12583,0,0,793,55251,113698794,2966931,14940951,50314379,0,0,32110652,0,0,2553337,216585044,71763592,1665588,7791571,40156265,62922,0,36493649,0,0,2300834,160234421,5465162,143208038,3580236,18952128,70592095,0,54304,0,22093707,0,0,0,0,0,0,4221815,268167485,0,0,0,0,0,42254348,1052283,3780394,19878549,8617,0,41045431,0,0,632358,108651980,2390017,114523588,13424007,243153,0,0,0,0,6735049,342714735,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106560525,ADVENTIST HEALTH SIMI VALLEY,20192,43469,06/30/2019,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,88,742,250,85,294,0,0,27,538,0,7,1943,0,3237,1005,326,1037,0,0,95,1900,0,17,7617,0,3188,947,629,3314,0,0,3196,9323,0,384,20981,54199438,18451995,4241019,17054714,0,0,388516,34964062,0,1823294,131123038,14626654,8824890,3333162,14117249,0,0,1110863,30722189,0,2377014,75112021,2053872,59055805,21381866,5872741,30432072,0,0,0,895842,39109389,0,632467,0,0,0,4920047,164354101,0,0,0,0,0,9203334,5711166,1699296,712556,0,0,518630,23068748,0,967228,41880958,419209,41668481,0,5339,0,0,0,0,100855,122051376,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
